Name,id,Status,Source,Last Updated,Address,Zip Code,Phone,Email,Website/Social Media,Neighborhood,Category,Pod,Latitude,Longitude,Special Accommodation Hours,SNAP/EBT,WIC,Pickup Offered,Delivery Offered,Delivery/Pickup Notes,Notes,Donate,Created time,Sub-Category,Hours,Hours - Obsolete,Admin Notes
Brooklyn Bike Peddler,54,Open (Missing Info),Transportation Alternative Sheet,,"636 Lorimer Street, Brooklyn, NY 11211",11211,(347) 799-2014,,https://www.instagram.com/brooklynpeddler/?utm_source=ig_embed,North Williamsburg,Bike Shops,17,40.715937,-73.949497,,,,,,,,,4/29/2020 12:34am,,,,
Brooklyn Cupcake,55,Open,,5/2/2020,"335 Union Ave, Brooklyn, NY 11211",11211,(718) 576-3600,,brooklyncupcake.com,South Williamsburg,Restaurant,30,40.710378,-73.951275,,,,Yes (Call ahead),Yes,,,,5/1/2020 4:33am,Bakery,Sun-Wed: 11am-7pm / Thurs-Sat: 11am-9pm,,
Brooklyn Harvest Market,56,Open,,5/1/2020,"204 Union Avenue, Brooklyn, NY 11211",11211,(718) 486-3300,,https://www.brooklynharvestmarkets.com/,South Williamsburg,Grocery Store - Supermarket,30,40.706287,-73.950049,,,,No,Yes,Delivery only through instacart,https://www.facebook.com/Brooklyn-Harvest-309194922804760/,,4/29/2020 12:34am,,Daily: 7am-Midnight,7-12 Daily,
Brooklyn Label,57,Open (Missing Info),,5/2/2020,180 Franklin St.,11222,(347) 689-4072,,https://www.instagram.com/brooklynlabelgreenpoint/,Greenpoint,Restaurant,4,40.731684,-73.957651,,,,Yes,Yes,Cocktails (and food) for takeout Call ahead. Delivery on Seamless or Grubhub (but they recommend calling/pickup for best service).,2 for 1 drinks 4-8pm weekdays.,X,4/29/2020 1:01am,American,Daily: 3pm-8pm,,
Brooklyn Safehouse,58,Open (Missing Info),Location,5/2/2020,"120 Franklin St, Brooklyn, NY 11222",11222,x,,https://instagram.com/brooklyn_safehouse,Greenpoint,Bar,6,40.728869,-73.957202,,,,Yes,No,To-go table at door.,To-go beer and cocktails,https://www.gofundme.com/f/support-your-safehouse-staff,4/29/2020 1:01am,Restaurant,,,
Brooklynites Laundry,59,Open,Location,4/21/2020,"212 McGuinness Blvd, Brooklyn, NY 11222",11222,(718) 609-1212,,http://www.brooklyniteslaundry.com/Home_Page_2.html,Greenpoint,Laundromat,5,40.730170,-73.950862,,,,Yes,Yes,,,,4/29/2020 12:34am,,Daily: 9am-5pm,M - S 9:00 am to 5:00 pm,
Brouwerij Lane,60,Open,Location,5/3/2020,"78 Greenpoint Ave., Brooklyn, NY 11222",11222,(347) 529-6133,,https://www.instagram.com/brouwerijlane/,Greenpoint,Bar,6,40.729724,-73.957794,,,,Yes,No,$1 from each beer sold goes to benefit North Brooklyn Angels.,"To-go bottles, cans, & growlers. Beer menu at https://www.beermenus.com/places/667-brouwerij-lane?pp=0",X,4/29/2020 1:01am,,Daily: 2pm-8pm,,
Bubble Laundromat,61,Closed,,4/22/2020,"400 Graham Avenue, Brooklyn, NY 11211",11211,(718) 383-9769,,,East Williamsburg,Laundromat,18,40.716776,-73.944522,,,,,,,,,4/29/2020 12:34am,,Mon-Fri: 7am-9pm / Sat: 7am-8pm / Sun: 8am-6pm,"M - F 7:00 am - 9:00 pm, Sa 7:00 am - 8:00 am, Su 8:00 am - 6:00 pm",
Buddy's Dog Den,62,,,4/24/2020,"429 Graham Ave, Brooklyn, NY 11211",11211,(347) 382-7101,info@buddysdogden.com,buddysdogden.com,East Williamsburg,Pet Supplies,16,40.717784,-73.945177,,,,,,,Dog day care,,4/29/2020 12:34am,,,,
Bushwick Deli & Grocery,63,,,,"289 Bushwick Ave, Brooklyn, NY 11206",11206,(718) 456-0074,,,East Williamsburg,Grocery Store,21,40.706375,-73.939428,,,,,,,,,5/1/2020 5:24pm,,,,
Bushy Tails,64,Open,,4/24/2020,"1087 Flushing Ave, Brooklyn, NY 11237",11237,(718) 821-1525,bushytailsinbushwick@hotmail.com,https://www.facebook.com/BushyTailsPetFoodAndSupplies/,East Williamsburg,Pet Supplies,23,40.705141,-73.928489,,,,Yes,Yes,,,,4/29/2020 12:34am,,Mon-Sat: 12pm-6pm / Sun: Closed,Mon-Sat: 12pm-6pm / Sun: Closed,
Busy Bee Food Exchange,65,Open,,5/1/2020,"185 Nassau Avenue, Brooklyn, NY 11222",11222,(718) 389-2188,,http://busybeefoodexchange.com/,Greenpoint,Grocery Store - Supermarket,11,40.725610,-73.945717,,,,Yes,No,,,,4/29/2020 12:34am,,Mon-Sat: 8am-6:45pm / Sun: 8am-1:45pm,"m-sat 8-6:45, sun 8-1:45",
byPensa,66,Open (Missing Info),,5/2/2020,"214 Humboldt St, Brooklyn, NY ",11206,(315) 729-9949,,https://www.instagram.com/by_pensa/,East Williamsburg,Restaurant,21,40.708734,-73.941569,,,,,,By appointment only - specialty cake studio,,,5/1/2020 4:31am,"Bakery,Cake Shop",By Appointment Only,,
C-Town,67,Open,,5/1/2020,"953 Manhattan Avenue, Brooklyn, NY 11222",11222,(718) 349-3000,,https://locations.ctownsupermarkets.com/ctown-supermarkets-4b18445a0f90,Greenpoint,Grocery Store - Supermarket,4,40.731914,-73.954870,,,,No,No,,,,4/29/2020 12:34am,,Daily: 8am-8pm,Daily: 8am-8pm,
C-Town,68,Open,,5/1/2020,"330 Graham Avenue, Brooklyn, NY 11211",11211,(718) 388-8968,,https://locations.ctownsupermarkets.com/ctown-supermarkets-3240f74cab63,East Williamsburg,Grocery Store - Supermarket,18,40.714247,-73.944017,Daily: 7:30am-8:30am for Seniors,,,No,No,,,,4/29/2020 12:34am,,Daily: 7:30am-9pm,7:30-9 Daily,
C-Town,69,Open,,5/1/2020,"130 Havemeyer Street, Brooklyn, NY 11211",11211,(718) 782-6300,,https://locations.ctownsupermarkets.com/ctown-supermarkets-b31623d03646,South Williamsburg,Grocery Store - Supermarket,26,40.712516,-73.957371,,,,No,Yes - only in special cases,Groceries will be delivered only if shopping is done in person.,,,4/29/2020 12:34am,,Daily: 7:30-10pm ,7:30-10 Daily,
Cafe Grumpy,70,Open,,5/2/2020,193 Meserole Ave.,11222,(718) 349-7623,,https://www.instagram.com/cafegrumpy/,Greenpoint,Restaurant,8,40.728655,-73.948718,,,,Yes,Yes,"Cafe not open (no walk-up), but pick-up & delivery in the Greenpoint/Williamsburg area Mon-Thurs 10-3. Links to order on their site: https://cafegrumpy.com/","No walk-ups, pickup orders only. ",https://www.gofundme.com/f/baristas-tip-fund,4/29/2020 1:52am,Cafe,Mon-Thurs: 10am-3pm ,Mon-Thurs 10am-3pm for orders in advance.,
Cafe Riviera Greenpoint,71,,,,"830 Manhattan Ave, Brooklyn, NY 11222",11222,(718) 383-8450,,http://www.caferivieragreenpoint.com/,Greenpoint,Restaurant,6,40.728661,-73.953325,,,,,,,,,4/30/2020 6:05am,"Bakery,Cafe,Polish",,,
Calexico,72,Open,,5/2/2020,645 Manhattan Ave.,11222,(347) 763-2129,,https://www.instagram.com/calexiconyc,Greenpoint,Restaurant,12,40.724172,-73.951275,,,,Yes,Yes,,Food and alcohol available. ,X,4/29/2020 1:01am,Mexican,Daily: 12pm-10pm,Noon-10pm,
Campbell Cheese & Grocery,73,Open,,5/2/2020,502 Lorimer Street,11211,(718) 387-2267,info@campbellcheese.com,https://www.instagram.com/campbellandco.bk/,South Williamsburg,Restaurant,25,40.712035,-73.948787,,,,Yes,Yes,Place all orders online for pickup and delivery in a 1.5 mile radius,,X,4/29/2020 1:01am,Grocery Store,Mon: 9am-4pm / Wed-Sun: 9am-4pm,,
